664e9d24 17c 90 38   Note On Ab2 43
b5d7dd3e 90 29 00   Note On(0-Off) F1
b5d7de36 90 2d 00   Note On(0-Off) A1
b5d7dea5 90 2d 62   Note On A1 98
b5d7e03a 90 2d 00   Note On(0-Off) A1
b5d7e15d 90 30 6d   Note On C2 109
b5d7e244 90 39 66   Note On A2 102

b5d7e246 90 41 6b   Note On F3 107

b5d7e247 90 3c 7f   Note On C3 127
b5d7e2dd 90 41 00   Note On(0-Off) F3
b5d7e30e 90 40 45   Note On E3 69

b5d7e34b 90 3c 00   Note On(0-Off) C3
b5d7e3ce 90 40 00   Note On(0-Off) E3
b5d7e43f 90 39 00   Note On(0-Off) A2

b5d7e473 90 30 00   Note On(0-Off) C2
b5d7e49e 90 29 64   Note On F1 100

b5d7e4a1 90 39 4f   Note On A2 79

b5d7e4a3 90 41 62   Note On F3 98
b5d7e662 90 41 00   Note On(0-Off) F3

b5d7e682 90 39 00   Note On(0-Off) A2
b5d7e700 90 41 60   Note On F3 96

b5d7e707 90 39 5f   Note On A2 95

b5d7e709 90 3c 7f   Note On C3 127
b5d7e7e2 90 39 00   Note On(0-Off) A2

b5d7e802 90 3c 00   Note On(0-Off) C3
b5d7e846 90 41 00   Note On(0-Off) F3

b5d7e894 90 2d 49   Note On A1 73
b5d7e8cb 90 29 00   Note On(0-Off) F1
b5d7e99b 90 45 52   Note On A3 82

b5d7e99e 90 41 64   Note On F3 100
b5d7ea95 90 41 00   Note On(0-Off) F3
b5d7eadb 90 45 00   Note On(0-Off) A3
b5d7ec10 90 48 62   Note On C4 98

b5d7ec13 90 30 5b   Note On C2 91

b5d7ec16 90 45 62   Note On A3 98

b5d7ec17 90 41 60   Note On F3 96

b5d7ec2d 90 2d 00   Note On(0-Off) A1
b5d7ed28 90 30 00   Note On(0-Off) C2

b5d7ed3a 90 41 00   Note On(0-Off) F3
b5d7ed69 90 48 00   Note On(0-Off) C4

b5d7eda8 90 45 00   Note On(0-Off) A3

b5d7edc9 90 24 12   Note On C1 18
b5d7edd0 90 41 64   Note On F3 100

b5d7edd5 90 45 6b   Note On A3 107

b5d7edd7 90 48 69   Note On C4 105

b5d7ee18 90 24 00   Note On(0-Off) C1
b5d7eeb4 90 24 7e   Note On C1 126
b5d7f010 90 45 00   Note On(0-Off) A3

b5d7f01a 90 47 67   Note On B3 103
b5d7f03a 90 48 00   Note On(0-Off) C4
b5d7f129 90 45 6e   Note On A3 110
b5d7f1a3 90 41 00   Note On(0-Off) F3

b5d7f1b7 90 47 00   Note On(0-Off) B3
b5d7f24d 90 45 00   Note On(0-Off) A3

b5d7f281 90 48 59   Note On C4 89

b5d7f282 90 43 64   Note On G3 100

b5d7f283 90 28 67   Note On E1 103
b5d7f28b 90 40 69   Note On E3 105

b5d7f2a1 90 24 00   Note On(0-Off) C1
b5d7f681 90 2b 4d   Note On G1 77
b5d7f695 90 28 00   Note On(0-Off) E1
b5d7f7b9 90 48 00   Note On(0-Off) C4
b5d7f803 90 40 00   Note On(0-Off) E3
b5d7f820 90 43 00   Note On(0-Off) G3
b5d7f8ee 90 24 7b   Note On C1 123

b5d7f8ee 90 40 64   Note On E3 100

b5d7f8ef 90 43 52   Note On G3 82

b5d7f8ef 90 2b 00   Note On(0-Off) G1
b5d7f9de 90 40 00   Note On(0-Off) E3

b5d7f9de 90 43 00   Note On(0-Off) G3

b5d7f9e6 90 24 00   Note On(0-Off) C1
b5d7fb59 90 40 6b   Note On E3 107

b5d7fb59 90 43 6b   Note On G3 107

b5d7fb59 90 24 7d   Note On C1 125
b5d7fd58 90 40 00   Note On(0-Off) E3

b5d7fd58 90 43 00   Note On(0-Off) G3

b5d7fd58 90 26 64   Note On D1 100

b5d7fd89 90 41 67   Note On F3 103

b5d7fd8a 90 45 4f   Note On A3 79

b5d7fd8a 90 24 00   Note On(0-Off) C1
b5d7ff35 90 41 00   Note On(0-Off) F3

b5d7ff35 90 45 00   Note On(0-Off) A3
b5d80000 90 28 72   Note On E1 114

b5d80001 90 26 00   Note On(0-Off) D1

b5d80001 90 41 66   Note On F3 102
b5d80186 90 41 00   Note On(0-Off) F3
b5d80220 90 29 69   Note On F1 105

b5d8022c 90 41 60   Note On F3 96

b5d8022d 90 45 6e   Note On A3 110

b5d8022f 90 48 60   Note On C4 96

b5d80232 90 28 00   Note On(0-Off) E1
b5d80309 90 45 00   Note On(0-Off) A3

b5d80322 90 48 00   Note On(0-Off) C4

b5d80324 90 41 00   Note On(0-Off) F3
b5d8038d 90 45 4b   Note On A3 75
b5d80393 90 41 23   Note On F3 35

b5d80395 90 48 3d   Note On C4 61
b5d80403 90 48 00   Note On(0-Off) C4

b5d80407 90 45 00   Note On(0-Off) A3

b5d80412 90 41 00   Note On(0-Off) F3

b5d80454 90 48 64   Note On C4 100

b5d80454 90 45 67   Note On A3 103

b5d80454 90 41 60   Note On F3 96
b5d80518 90 45 00   Note On(0-Off) A3

b5d8051b 90 41 00   Note On(0-Off) F3

b5d8051d 90 48 00   Note On(0-Off) C4
b5d8057f 90 29 00   Note On(0-Off) F1
b5d805e7 90 48 69   Note On C4 105

b5d805ea 90 45 70   Note On A3 112

b5d805ed 90 41 66   Note On F3 102

b5d805ef 90 29 72   Note On F1 114
b5d8071d 90 48 00   Note On(0-Off) C4
b5d80721 90 45 00   Note On(0-Off) A3

b5d80726 90 41 00   Note On(0-Off) F3
b5d8082c 90 48 64   Note On C4 100

b5d80836 90 43 52   Note On G3 82
b5d80915 90 48 00   Note On(0-Off) C4
b5d80933 90 4c 6b   Note On E4 107

b5d80936 90 47 6b   Note On B3 107
b5d809b2 90 43 00   Note On(0-Off) G3

b5d809d6 90 47 00   Note On(0-Off) B3
b5d809ea 90 4c 00   Note On(0-Off) E4
b5d80a90 90 43 5f   Note On G3 95

b5d80a93 90 47 6d   Note On B3 109

b5d80a9f 90 4a 6e   Note On D4 110
b5d80ba6 90 2b 6b   Note On G1 107

b5d80bb7 90 29 00   Note On(0-Off) F1
b5d80d0d 90 47 00   Note On(0-Off) B3
b5d80d18 90 43 00   Note On(0-Off) G3

b5d80d2b 90 4a 00   Note On(0-Off) D4
b5d80dc1 90 4a 6d   Note On D4 109

b5d80dc5 90 43 62   Note On G3 98

b5d80dc7 90 47 6e   Note On B3 110
b5d80fa0 90 43 00   Note On(0-Off) G3

b5d80fa2 90 47 00   Note On(0-Off) B3

b5d80fb9 90 4a 00   Note On(0-Off) D4

b5d80fc8 90 2b 00   Note On(0-Off) G1
b5d8101f 90 4c 6b   Note On E4 107

b5d81023 90 43 5f   Note On G3 95

b5d81026 90 2b 6b   Note On G1 107

b5d81027 90 47 6b   Note On B3 107
b5d811b0 90 4c 00   Note On(0-Off) E4
b5d811d1 90 47 00   Note On(0-Off) B3

b5d811d6 90 43 00   Note On(0-Off) G3

b5d81205 90 2b 00   Note On(0-Off) G1
b5d8126d 90 4d 6b   Note On F4 107

b5d81270 90 47 6d   Note On B3 109

b5d81272 90 43 62   Note On G3 98

b5d8127f 90 2b 67   Note On G1 103
b5d813d0 90 4d 00   Note On(0-Off) F4

b5d813d9 90 47 00   Note On(0-Off) B3

b5d81410 90 43 00   Note On(0-Off) G3
b5d8148a 90 2b 00   Note On(0-Off) G1
b5d814df 90 28 74   Note On E1 116

b5d814eb 90 47 6e   Note On B3 110

b5d814ee 90 4f 72   Note On G4 114

b5d814ef 90 4a 76   Note On D4 118
b5d81603 90 47 00   Note On(0-Off) B3
b5d81683 90 47 3f   Note On B3 63
b5d816a5 90 4a 00   Note On(0-Off) D4

b5d816bb 90 4f 00   Note On(0-Off) G4
b5d81763 90 4a 47   Note On D4 71

b5d817b5 90 47 00   Note On(0-Off) B3
b5d81829 90 4a 00   Note On(0-Off) D4
b5d818d6 90 28 00   Note On(0-Off) E1
b5d81908 90 4a 66   Note On D4 102

b5d8191f 90 2c 70   Note On Ab1 112
b5d81b00 90 4a 00   Note On(0-Off) D4

b5d81b58 90 51 5e   Note On A4 94

b5d81b59 90 4a 47   Note On D4 71
b5d81c02 90 51 00   Note On(0-Off) A4

b5d81c0a 90 4a 00   Note On(0-Off) D4
b5d81c33 90 4a 45   Note On D4 69

b5d81c35 90 53 6b   Note On B4 107
b5d81d01 90 4a 00   Note On(0-Off) D4

b5d81d08 90 53 00   Note On(0-Off) B4
b5d81dc2 90 4c 70   Note On E4 112

b5d81dc9 90 54 72   Note On C5 114

b5d81dca 90 56 7d   Note On D5 125
b5d81eea 90 56 00   Note On(0-Off) D5

b5d81f11 90 2d 72   Note On A1 114

b5d81f1b 90 2c 00   Note On(0-Off) Ab1
b5d82065 90 4c 00   Note On(0-Off) E4
b5d82089 90 54 00   Note On(0-Off) C5
b5d82136 90 54 60   Note On C5 96
b5d821fa 90 53 52   Note On B4 82

b5d8221a 90 54 00   Note On(0-Off) C5
b5d822cc 90 51 5b   Note On A4 91
b5d82303 90 53 00   Note On(0-Off) B4
b5d823c7 90 4f 5f   Note On G4 95
b5d823da 90 51 00   Note On(0-Off) A4
b5d8246e 90 4d 69   Note On F4 105

b5d82496 90 4f 00   Note On(0-Off) G4
b5d82538 90 4d 00   Note On(0-Off) F4
b5d8256f 90 4a 6b   Note On D4 107

b5d82572 90 4c 66   Note On E4 102
b5d82633 90 4a 00   Note On(0-Off) D4

b5d82656 90 4a 74   Note On D4 116

b5d82671 90 4c 00   Note On(0-Off) E4
b5d82703 90 48 52   Note On C4 82

b5d82752 90 4a 00   Note On(0-Off) D4
b5d827e1 90 47 4d   Note On B3 77

b5d827fe 90 48 00   Note On(0-Off) C4
b5d828dc 90 26 62   Note On D1 98

b5d828e6 90 2d 00   Note On(0-Off) A1

b5d828e8 90 45 69   Note On A3 105

b5d82903 90 47 00   Note On(0-Off) B3
b5d82a5b 90 48 5b   Note On C4 91
b5d82ad9 90 45 00   Note On(0-Off) A3
b5d82b5d 90 4a 4f   Note On D4 79

b5d82b65 90 48 00   Note On(0-Off) C4
b5d82c0c 90 4a 00   Note On(0-Off) D4
b5d82d09 90 48 6b   Note On C4 107

b5d82d0c 90 4f 67   Note On G4 103

b5d82d10 90 4d 6b   Note On F4 107

b5d82d11 90 45 64   Note On A3 100
b5d82df8 90 4d 00   Note On(0-Off) F4
b5d82e32 90 4f 00   Note On(0-Off) G4
b5d82f11 90 48 00   Note On(0-Off) C4
b5d82f86 90 48 3f   Note On C4 63

b5d82f87 90 4d 62   Note On F4 98
b5d82fdd 90 4c 4d   Note On E4 77

b5d83003 90 4d 00   Note On(0-Off) F4
b5d83059 90 4c 00   Note On(0-Off) E4
b5d8315f 90 45 00   Note On(0-Off) A3

b5d83172 90 48 00   Note On(0-Off) C4
b5d83284 90 43 69   Note On G3 105

b5d83286 90 45 72   Note On A3 114
b5d8328d 90 2b 6d   Note On G1 109

b5d83293 90 43 00   Note On(0-Off) G3

b5d832ae 90 26 00   Note On(0-Off) D1
b5d834ba 90 48 40   Note On C4 64
b5d835cb 90 4a 6b   Note On D4 107
b5d835fd 90 48 00   Note On(0-Off) C4

b5d835ff 90 45 00   Note On(0-Off) A3
b5d83684 90 4a 00   Note On(0-Off) D4

b5d83689 90 2b 00   Note On(0-Off) G1
b5d83743 90 45 67   Note On A3 103

b5d83744 90 2b 6e   Note On G1 110

b5d83747 90 48 6b   Note On C4 107

b5d83748 90 4d 72   Note On F4 114
b5d838d4 90 4d 00   Note On(0-Off) F4
b5d8393b 90 48 00   Note On(0-Off) C4
b5d83965 90 45 00   Note On(0-Off) A3

b5d839a7 90 48 62   Note On C4 98

b5d839a9 90 45 1b   Note On A3 27

b5d839ab 90 4c 64   Note On E4 100
b5d839f7 90 45 00   Note On(0-Off) A3

b5d839fc 90 48 00   Note On(0-Off) C4

b5d83a0c 90 4c 00   Note On(0-Off) E4
b5d83c0a 90 48 6b   Note On C4 107

b5d83c15 90 43 5e   Note On G3 94
b5d83d43 90 24 79   Note On C1 121

b5d83d47 90 2b 00   Note On(0-Off) G1
b5d83e7b 90 4a 67   Note On D4 103
b5d83ea5 90 48 00   Note On(0-Off) C4
b5d83f07 90 43 00   Note On(0-Off) G3

b5d83f0d 90 4a 00   Note On(0-Off) D4
b5d83f68 90 4c 5e   Note On E4 94

b5d83f6a 90 43 66   Note On G3 102
b5d84141 90 24 00   Note On(0-Off) C1

b5d8419c 90 24 7e   Note On C1 126
b5d84588 90 43 00   Note On(0-Off) G3

b5d84589 90 4c 00   Note On(0-Off) E4
b5d8462d 90 43 62   Note On G3 98

b5d8462e 90 46 67   Note On Bb3 103

b5d84632 90 4c 69   Note On E4 105

b5d84633 90 2e 72   Note On Bb1 114
b5d84699 90 24 00   Note On(0-Off) C1
b5d847e6 90 43 00   Note On(0-Off) G3
b5d847f6 90 4c 00   Note On(0-Off) E4

b5d84801 90 2e 00   Note On(0-Off) Bb1

b5d8480f 90 46 00   Note On(0-Off) Bb3
b5d84875 90 46 59   Note On Bb3 89

b5d84877 90 2d 67   Note On A1 103

b5d8487c 90 43 64   Note On G3 100

b5d84880 90 4a 6b   Note On D4 107
b5d849f6 90 4a 00   Note On(0-Off) D4

b5d84a21 90 46 00   Note On(0-Off) Bb3

b5d84a42 90 43 00   Note On(0-Off) G3
b5d84ade 90 2b 67   Note On G1 103

b5d84ae8 90 4d 72   Note On F4 114

b5d84ae9 90 43 45   Note On G3 69

b5d84aea 90 46 62   Note On Bb3 98

b5d84af1 90 2d 00   Note On(0-Off) A1
b5d84c8e 90 4d 00   Note On(0-Off) F4
b5d84cb2 90 46 00   Note On(0-Off) Bb3

b5d84cc3 90 43 00   Note On(0-Off) G3
b5d84d29 90 26 72   Note On D1 114

b5d84d2d 90 2b 00   Note On(0-Off) G1

b5d84d37 90 43 5e   Note On G3 94

b5d84d38 90 4c 69   Note On E4 105

b5d84d3a 90 46 62   Note On Bb3 98
b5d84e69 90 46 00   Note On(0-Off) Bb3
b5d84efc 90 43 00   Note On(0-Off) G3
b5d84f10 90 4c 00   Note On(0-Off) E4
b5d84f9b 90 26 00   Note On(0-Off) D1

b5d84f9d 90 29 72   Note On F1 114

b5d84fa3 90 41 6e   Note On F3 110

b5d84fa4 90 45 6b   Note On A3 107
b5d85286 90 29 00   Note On(0-Off) F1

b5d85293 90 41 00   Note On(0-Off) F3

b5d85295 90 45 00   Note On(0-Off) A3
b5d852fd 90 29 6b   Note On F1 107
b5d8530f 90 45 6b   Note On A3 107

b5d85311 90 41 67   Note On F3 103
b5d854c2 90 45 00   Note On(0-Off) A3

b5d854d7 90 41 00   Note On(0-Off) F3
b5d8554d 90 45 5b   Note On A3 91

b5d8554f 90 41 59   Note On F3 89

b5d85555 90 47 79   Note On B3 121
b5d85584 90 45 00   Note On(0-Off) A3
b5d85645 90 47 00   Note On(0-Off) B3

b5d85646 90 45 5f   Note On A3 95

b5d85651 90 48 5e   Note On C4 94
b5d856b9 90 41 00   Note On(0-Off) F3

b5d856de 90 45 00   Note On(0-Off) A3
b5d85714 90 48 00   Note On(0-Off) C4
b5d857a2 90 29 00   Note On(0-Off) F1

b5d857a9 90 45 66   Note On A3 102

b5d857ab 90 42 62   Note On F#3 98

b5d857b0 90 4a 6e   Note On D4 110

b5d857ba 90 2a 64   Note On F#1 100

b5d857be 90 48 64   Note On C4 100
b5d859e8 90 42 00   Note On(0-Off) F#3

b5d859ed 90 4a 00   Note On(0-Off) D4

b5d859ef 90 48 00   Note On(0-Off) C4

b5d859f3 90 45 00   Note On(0-Off) A3
b5d85a59 90 48 6b   Note On C4 107

b5d85a5f 90 45 3f   Note On A3 63

b5d85a77 90 42 15   Note On F#3 21
b5d85ae0 90 45 00   Note On(0-Off) A3
b5d85c25 90 42 00   Note On(0-Off) F#3

b5d85c50 90 48 00   Note On(0-Off) C4

b5d85c6a 90 49 01   Note On C#4 1
b5d85c9b 90 4a 72   Note On D4 114

b5d85ca4 90 45 64   Note On A3 100

b5d85caa 90 42 45   Note On F#3 69
b5d85e5c 90 4a 00   Note On(0-Off) D4

b5d85e62 90 45 00   Note On(0-Off) A3
b5d85f1b 90 48 6d   Note On C4 109

b5d85f1e 90 45 64   Note On A3 100
b5d85fb6 90 42 00   Note On(0-Off) F#3
b5d8600c 90 45 00   Note On(0-Off) A3
b5d860f4 90 48 00   Note On(0-Off) C4

b5d86132 90 2a 00   Note On(0-Off) F#1
b5d86143 90 28 67   Note On E1 103

b5d86144 90 43 42   Note On G3 66

b5d8614e 90 4a 64   Note On D4 100

b5d86156 90 47 70   Note On B3 112

b5d86158 90 49 00   Note On(0-Off) C#4
b5d8640b 90 4a 00   Note On(0-Off) D4

b5d8640d 90 47 00   Note On(0-Off) B3

b5d8640e 90 43 00   Note On(0-Off) G3
b5d86479 90 47 67   Note On B3 103

b5d8647c 90 4c 6e   Note On E4 110

b5d8647e 90 43 3a   Note On G3 58
b5d8667a 90 43 00   Note On(0-Off) G3

b5d8667b 90 4c 00   Note On(0-Off) E4

b5d8667f 90 47 00   Note On(0-Off) B3
b5d866d4 90 43 4b   Note On G3 75

b5d866d5 90 47 67   Note On B3 103

b5d866da 90 4a 6b   Note On D4 107
b5d8674f 90 47 00   Note On(0-Off) B3
b5d867bf 90 43 00   Note On(0-Off) G3

b5d867d7 90 4a 00   Note On(0-Off) D4

b5d867e3 90 47 4f   Note On B3 79

b5d867e4 90 4c 67   Note On E4 103

b5d867f1 90 43 28   Note On G3 40
b5d86897 90 43 00   Note On(0-Off) G3

b5d868a6 90 4c 00   Note On(0-Off) E4

b5d868ac 90 47 00   Note On(0-Off) B3
b5d86955 90 4c 6b   Note On E4 107

b5d86956 90 45 69   Note On A3 105

b5d86957 90 48 6b   Note On C4 107

b5d86977 90 2d 6d   Note On A1 109
b5d8698f 90 28 00   Note On(0-Off) E1
b5d86bbc 90 4c 00   Note On(0-Off) E4

b5d86bca 90 45 00   Note On(0-Off) A3

b5d86be4 90 48 00   Note On(0-Off) C4
b5d86c6f 90 48 64   Note On C4 100

b5d86c71 90 4c 62   Note On E4 98

b5d86c74 90 45 64   Note On A3 100
b5d86dee 90 48 00   Note On(0-Off) C4

b5d86df9 90 45 00   Note On(0-Off) A3

b5d86dfe 90 4c 00   Note On(0-Off) E4
b5d86e9d 90 4d 6b   Note On F4 107

b5d86e9f 90 4c 59   Note On E4 89
b5d86ead 90 45 14   Note On A3 20
b5d86f6d 90 4d 00   Note On(0-Off) F4

b5d86f73 90 4c 00   Note On(0-Off) E4

b5d86f77 90 45 00   Note On(0-Off) A3
b5d8700b 90 45 38   Note On A3 56

b5d8700b 90 4d 4d   Note On F4 77

b5d8700b 90 4a 70   Note On D4 112
b5d87073 90 4a 00   Note On(0-Off) D4

b5d87073 90 4d 00   Note On(0-Off) F4

b5d87074 90 45 00   Note On(0-Off) A3
b5d87131 90 4a 64   Note On D4 100

b5d8713a 90 45 67   Note On A3 103

b5d8713a 90 4d 6e   Note On F4 110

b5d8713a 90 4f 6b   Note On G4 107

b5d871d0 90 4f 00   Note On(0-Off) G4
b5d8725a 90 26 67   Note On D1 103

b5d87266 90 2d 00   Note On(0-Off) A1
b5d8745b 90 4d 00   Note On(0-Off) F4

b5d8745b 90 4a 00   Note On(0-Off) D4

b5d8745b 90 45 00   Note On(0-Off) A3
b5d87558 90 45 64   Note On A3 100

b5d87558 90 4d 6e   Note On F4 110

b5d87558 90 4a 6e   Note On D4 110
b5d876eb 90 4a 00   Note On(0-Off) D4

b5d876fa 90 45 00   Note On(0-Off) A3

b5d87705 90 4d 00   Note On(0-Off) F4
b5d8776d 90 48 62   Note On C4 98

b5d87771 90 45 62   Note On A3 98

b5d87778 90 4c 66   Note On E4 102
b5d87862 90 48 00   Note On(0-Off) C4
b5d87895 90 48 1a   Note On C4 26

b5d87898 90 4a 70   Note On D4 112

b5d8789d 90 4c 00   Note On(0-Off) E4

b5d878f4 90 48 00   Note On(0-Off) C4
b5d8796e 90 45 00   Note On(0-Off) A3

b5d87972 90 4a 00   Note On(0-Off) D4
b5d879f6 90 26 00   Note On(0-Off) D1

b5d879f7 90 2b 67   Note On G1 103

b5d87a0a 90 43 66   Note On G3 102

b5d87a0b 90 47 6b   Note On B3 107

b5d87a0f 90 4a 6b   Note On D4 107
b5d87cfc 90 43 00   Note On(0-Off) G3
b5d87d03 90 47 00   Note On(0-Off) B3

b5d87d07 90 4a 00   Note On(0-Off) D4
b5d87d9a 90 4a 67   Note On D4 103

b5d87d9d 90 43 4b   Note On G3 75

b5d87da0 90 47 67   Note On B3 103
b5d87f64 90 47 00   Note On(0-Off) B3

b5d87f6a 90 4a 00   Note On(0-Off) D4

b5d87f6c 90 43 00   Note On(0-Off) G3
b5d87fcd 90 48 5f   Note On C4 95

b5d87fcf 90 43 4b   Note On G3 75
b5d88094 90 43 00   Note On(0-Off) G3

b5d8809a 90 48 00   Note On(0-Off) C4

b5d880f1 90 43 5e   Note On G3 94
b5d880f9 90 47 6b   Note On B3 107
b5d881f3 90 47 00   Note On(0-Off) B3
b5d8822c 90 43 00   Note On(0-Off) G3
b5d882f9 90 2b 00   Note On(0-Off) G1

b5d88335 90 41 59   Note On F3 89

b5d88339 90 4a 69   Note On D4 105

b5d8833c 90 45 67   Note On A3 103

b5d8834a 90 29 6b   Note On F1 107
b5d88643 90 41 00   Note On(0-Off) F3

b5d88659 90 4a 00   Note On(0-Off) D4

b5d88666 90 45 00   Note On(0-Off) A3
b5d886c4 90 45 4f   Note On A3 79

b5d886c5 90 41 4f   Note On F3 79

b5d886c6 90 48 52   Note On C4 82
b5d88b62 90 48 00   Note On(0-Off) C4

b5d88b63 90 45 00   Note On(0-Off) A3

b5d88b65 90 41 00   Note On(0-Off) F3

b5d88b90 90 29 00   Note On(0-Off) F1
b5d88c73 90 2c 67   Note On Ab1 103
b5d88de2 90 2c 00   Note On(0-Off) Ab1

b5d88df1 90 44 6b   Note On Ab3 107
b5d88df9 90 41 5b   Note On F3 91
b5d88e67 90 44 00   Note On(0-Off) Ab3

b5d88e73 90 41 00   Note On(0-Off) F3
b5d88ed3 90 44 67   Note On Ab3 103

b5d88ede 90 41 67   Note On F3 103

b5d88eec 90 4a 72   Note On D4 114
b5d88f2b 90 2b 47   Note On G1 71

b5d88f6d 90 2b 00   Note On(0-Off) G1
b5d88f9f 90 4a 00   Note On(0-Off) D4

b5d88fa3 90 44 00   Note On(0-Off) Ab3

b5d88fa5 90 41 00   Note On(0-Off) F3
b5d8914d 90 2b 76   Note On G1 118

b5d8914f 90 4c 70   Note On E4 112

b5d8915a 90 43 69   Note On G3 105
b5d8923d 90 4c 00   Note On(0-Off) E4
b5d892b1 90 29 67   Note On F1 103

b5d892b5 90 2b 00   Note On(0-Off) G1
b5d892ba 90 48 6d   Note On C4 109
b5d89341 90 48 00   Note On(0-Off) C4

b5d89355 90 43 00   Note On(0-Off) G3
b5d893a9 90 29 00   Note On(0-Off) F1
b5d894ec 90 24 7e   Note On C1 126

b5d89500 90 48 70   Note On C4 112

b5d89502 90 43 64   Note On G3 100

b5d89509 90 4c 6b   Note On E4 107
b5d8958f 90 24 00   Note On(0-Off) C1

b5d895a9 90 48 00   Note On(0-Off) C4

b5d895b4 90 43 00   Note On(0-Off) G3

b5d895c5 90 4c 00   Note On(0-Off) E4
b5d89839 90 28 79   Note On E1 121
b5d8993a 90 28 00   Note On(0-Off) E1
b5d89a95 90 2b 74   Note On G1 116
b5d89b95 90 2b 00   Note On(0-Off) G1
b5d89c09 90 28 67   Note On E1 103
b5d89ce9 90 26 5f   Note On D1 95

b5d89ceb 90 28 00   Note On(0-Off) E1
b5d89e40 90 26 00   Note On(0-Off) D1

b5d89e77 90 24 7e   Note On C1 126
b5d89f5d 90 24 00   Note On(0-Off) C1
b5d90a14 90 2a 67   Note On F#1 103

b5d90a2c 90 31 4f   Note On C#2 79

b5d90a2e 90 35 6b   Note On F2 107

b5d90a30 90 3a 5b   Note On Bb2 91
b5d910f6 90 31 00   Note On(0-Off) C#2

b5d9111f 90 35 00   Note On(0-Off) F2

b5d9112a 90 3a 00   Note On(0-Off) Bb2
b5d91206 90 2a 00   Note On(0-Off) F#1
b5d913b6 90 33 4f   Note On Eb2 79

b5d913b6 90 38 67   Note On Ab2 103

b5d913b6 90 2c 64   Note On Ab1 100
b5d91747 90 38 00   Note On(0-Off) Ab2
b5d91807 90 33 00   Note On(0-Off) Eb2
b5d9194d 90 2c 00   Note On(0-Off) Ab1
b5d91ad9 90 2a 66   Note On F#1 102

b5d91ae0 90 3a 67   Note On Bb2 103

b5d91ae5 90 31 42   Note On C#2 66

b5d91ae7 90 35 6b   Note On F2 107
b5d92159 90 31 00   Note On(0-Off) C#2
b5d92191 90 3a 00   Note On(0-Off) Bb2

b5d92197 90 35 00   Note On(0-Off) F2
b5d9220e 90 2a 00   Note On(0-Off) F#1
b5d923c2 90 33 42   Note On Eb2 66

b5d923d4 90 3c 7f   Note On C3 127

b5d923da 90 38 5b   Note On Ab2 91

b5d923dc 90 2c 62   Note On Ab1 98
b5d927a6 90 38 00   Note On(0-Off) Ab2
b5d927af 90 3c 00   Note On(0-Off) C3

b5d927ca 90 33 00   Note On(0-Off) Eb2

b5d927d0 90 2c 00   Note On(0-Off) Ab1
b5d92a85 90 2a 66   Note On F#1 102

b5d92a8f 90 31 3f   Note On C#2 63

b5d92a91 90 3a 4f   Note On Bb2 79

b5d92a98 90 35 67   Note On F2 103
b5d92db0 90 2a 00   Note On(0-Off) F#1

b5d92dce 90 31 00   Note On(0-Off) C#2

b5d92e0a 90 35 00   Note On(0-Off) F2

b5d92e0b 90 3a 00   Note On(0-Off) Bb2
b5d93984 90 33 3d   Note On Eb2 61

b5d93988 90 2c 69   Note On Ab1 105

b5d9398a 90 38 5b   Note On Ab2 91

b5d939bb 90 3c 7f   Note On C3 127
b5d93e51 90 38 00   Note On(0-Off) Ab2

b5d93e55 90 3c 00   Note On(0-Off) C3
b5d93eaf 90 33 00   Note On(0-Off) Eb2

b5d93eb7 90 2c 00   Note On(0-Off) Ab1
b5d941a7 90 2a 67   Note On F#1 103

b5d941b2 90 3a 64   Note On Bb2 100

b5d941b4 90 31 42   Note On C#2 66

b5d941b7 90 35 6b   Note On F2 107
b5d948b5 90 31 00   Note On(0-Off) C#2

b5d948ba 90 3a 00   Note On(0-Off) Bb2

b5d948c2 90 35 00   Note On(0-Off) F2
b5d9490a 90 2a 00   Note On(0-Off) F#1
b5d94ab2 90 2c 64   Note On Ab1 100

b5d94aba 90 33 49   Note On Eb2 73

b5d94aba 90 3c 7f   Note On C3 127

b5d94aba 90 38 64   Note On Ab2 100
b5d95063 90 38 00   Note On(0-Off) Ab2
b5d950bb 90 3c 00   Note On(0-Off) C3

b5d950f2 90 2c 00   Note On(0-Off) Ab1
b5d9515a 90 33 00   Note On(0-Off) Eb2
b5d9535b 90 2a 6e   Note On F#1 110

b5d9535c 90 3a 60   Note On Bb2 96

b5d95365 90 31 34   Note On C#2 52

b5d95366 90 35 67   Note On F2 103
b5d95b04 90 3a 00   Note On(0-Off) Bb2

b5d95b04 90 31 00   Note On(0-Off) C#2

b5d95b04 90 35 00   Note On(0-Off) F2

b5d95b04 90 2a 00   Note On(0-Off) F#1
b5d95cd1 90 2c 64   Note On Ab1 100

